Date,Open,High,Low,Close,Adj Close,Change,Volume
Jun 17 2026,42.48,42.48,41.20,41.22,41.22,-1.95%,24186
Jun 16 2026,42.59,42.59,41.79,42.04,42.04,-1.11%,19976
Jun 15 2026,42.68,42.71,42.12,42.51,42.51,0.14%,29684
Jun 12 2026,41.82,42.63,41.48,42.45,42.45,1.19%,26793
Jun 11 2026,41.50,42.04,41.50,41.95,41.95,2.39%,14206
Jun 10 2026,40.75,41.39,40.64,40.97,40.97,0.04%,14475
Jun 9 2026,41.23,41.38,40.65,40.96,40.96,-0.13%,17186
Jun 8 2026,41.01,41.48,40.88,41.01,41.01,0.00%,11814
Jun 5 2026,40.56,41.41,40.56,41.01,41.01,0.71%,16712
Jun 4 2026,40.71,40.80,40.50,40.72,40.72,0.52%,11235
Jun 3 2026,40.73,40.73,40.08,40.51,40.51,-0.83%,19650
Jun 2 2026,40.80,40.87,40.52,40.85,40.85,0.17%,55374
Jun 1 2026,40.14,40.91,39.91,40.78,40.78,1.64%,42304
May 29 2026,40.17,40.32,39.90,40.12,40.12,-0.49%,40954
May 28 2026,40.97,40.97,40.20,40.32,40.32,-2.02%,55316
May 27 2026,41.64,41.64,41.08,41.15,41.15,-1.98%,19647
May 26 2026,41.65,42.21,41.52,41.98,41.98,-0.05%,38432
May 22 2026,42.52,42.52,41.62,42.00,42.00,-2.55%,36501
May 21 2026,43.18,43.45,42.99,43.10,43.10,-0.74%,18669
May 20 2026,42.60,43.52,42.58,43.42,43.42,2.87%,41379
May 19 2026,42.19,42.44,42.01,42.21,42.21,0.86%,20591
May 18 2026,41.42,42.18,41.42,41.85,41.85,1.18%,24534
May 15 2026,42.22,42.22,41.23,41.36,41.36,-2.19%,31983
May 14 2026,42.36,42.54,42.09,42.28,42.28,-0.29%,16693
May 13 2026,42.72,42.72,42.10,42.41,42.41,-0.29%,12250
May 12 2026,42.40,42.65,42.10,42.53,42.53,-0.07%,16028
May 11 2026,42.76,42.76,42.22,42.56,42.56,-0.48%,21730
May 8 2026,42.62,42.90,42.35,42.77,42.77,2.31%,21878
May 7 2026,42.20,42.35,41.80,41.80,41.80,-1.51%,16634
May 6 2026,42.89,42.89,42.02,42.44,42.44,-1.23%,29890
May 5 2026,42.00,42.97,42.00,42.97,42.97,3.49%,25881
May 4 2026,41.65,41.98,41.38,41.52,41.52,0.34%,23777
May 1 2026,40.94,41.58,40.94,41.38,41.38,-0.19%,27171
Apr 30 2026,41.34,41.65,40.67,41.46,41.46,1.87%,22483
Apr 29 2026,41.20,41.36,40.42,40.70,40.70,0.30%,35676
Apr 28 2026,40.22,40.92,40.22,40.58,40.58,0.97%,14460
